"feature","coefficient"
"HCHCARE_VAL",0.000345657311972805
"HENGVAL",-0.00241996264069417
"HFDVAL",-0.0533117141359242
"HFRVAL",0.0226150869356597
"HHOTNO",0
"HNUMFAM",0.0459083019428342
"HPROP_VAL",0.0475586087708127
"HRNUMWIC",0
"HSEVAL",0.112322333822505
"HUNITS",0
"HWSVAL",0.418426868402714
"THCHCARE_VAL",0
"THPROP_VAL",-0.00881251055006609
"GEDIV_1",0
"GEDIV_2",0
"GEDIV_3",0
"GEDIV_4",0
"GEDIV_5",0
"GEDIV_6",0
"GEDIV_7",0
"GEDIV_8",0
"GEDIV_9",0.0043971211333916
"HRHTYPE_1",0.0889519420375299
"HRHTYPE_2",0
"HRHTYPE_3",0
"HRHTYPE_4",-0.0175844177762918
"HRHTYPE_5",0
"HRHTYPE_6",0
"HRHTYPE_7",-0.0301556368896306
"HRHTYPE_8",0
"HRHTYPE_9",0
"H_TENURE_3",-0.00778950772374455
"H_LIVQRT_2",0
"H_LIVQRT_3",0
"H_LIVQRT_4",0
"H_LIVQRT_5",-0.0127510594821521
"H_LIVQRT_6",0
"H_LIVQRT_7",0
"H_LIVQRT_8",0
"H_LIVQRT_10",0
"H_LIVQRT_11",0
"H_LIVQRT_12",0
"H_TELHHD_2",-0.0120342394738416
"HANN_YN_2",-0.0246363933861102
"HCHCARE_YN_1",0
"HCHCARE_YN_2",0
"HCOV_2",-0.0080486780854276
"HCOV_3",-0.0292646468309266
"HCSP_YN_2",0
"HDIS_YN_2",-0.0220826128094044
"HDIV_YN_2",-0.069104995698729
"HDST_YN_2",-0.0625651679604696
"HED_YN_2",-0.00828544316121247
"HFIN_YN_2",0.00980350908345176
"HFLUNCH_2",0.0114033267864545
"HHOTLUN_2",0.00361876097701097
"HHSTATUS_2",-0.0741018122123325
"HHSTATUS_3",0
"HINC_FR_2",0
"HINC_SE_2",-0.0329534898158087
"HINC_UC_2",0
"HINC_WC_2",-0.000858136936664179
"HINC_WS_2",-0.273366506298004
"HINT_YN_2",-0.0683034970340865
"HLORENT_1",-0.0148529218761637
"HLORENT_2",0
"HMCAID_2",0
"HOI_YN_2",-0.00533064736071173
"HPAW_YN_2",0
"HPEN_YN_2",-0.120314303761952
"HPRES_MORT_1",0.037626051436831
"HPRES_MORT_2",0
"HPRIV_3",-0.108048650574224
"HPUB_1",0
"HPUB_2",0
"HPUB_3",0.0314429189496568
"HPUBLIC_1",-0.0431979626999698
"HRNT_YN_2",-0.0379022929509122
"HRWICYN_2",0
"HSSI_YN_2",-0.0210727247566741
"HSS_YN_2",-0.0698527858166304
"HSUR_YN_2",-0.0300171543339225
"HVET_YN_2",-0.0303251452084063
"NOW_HMCAID_1",-0.063101324641703
"NOW_HMCAID_3",0.0277375449938462
"NOW_HPRIV_2",-0.00324403459649024
"GTMETSTA_2",-0.00534674756235293
"GTMETSTA_3",0
