"feature","coefficient"
"HCHCARE_VAL",0
"HENGVAL",0
"HFDVAL",-0.0502075655145316
"HFRVAL",0.0134412563696602
"HHOTNO",0
"HNUMFAM",0.0330142154605889
"HPROP_VAL",0.0412528031417452
"HRNUMWIC",0
"HSEVAL",0.109548792246884
"HUNITS",0
"HWSVAL",0.429209594584828
"THCHCARE_VAL",0
"THPROP_VAL",0
"GEDIV_1",0
"GEDIV_2",0
"GEDIV_3",0
"GEDIV_4",0
"GEDIV_5",0
"GEDIV_6",0
"GEDIV_7",0
"GEDIV_8",0
"GEDIV_9",0
"HRHTYPE_1",0.0975414487775414
"HRHTYPE_2",0
"HRHTYPE_3",0
"HRHTYPE_4",-0.0047657437391734
"HRHTYPE_5",0
"HRHTYPE_6",0
"HRHTYPE_7",-0.0180414934599037
"HRHTYPE_8",0
"HRHTYPE_9",0
"H_TENURE_3",0
"H_LIVQRT_2",0
"H_LIVQRT_3",0
"H_LIVQRT_4",0
"H_LIVQRT_5",-0.00511488594981906
"H_LIVQRT_6",0
"H_LIVQRT_7",0
"H_LIVQRT_8",0
"H_LIVQRT_10",0
"H_LIVQRT_11",0
"H_LIVQRT_12",0
"H_TELHHD_2",-0.00378572246474309
"HANN_YN_2",-0.0168588588186568
"HCHCARE_YN_1",0
"HCHCARE_YN_2",0
"HCOV_2",0
"HCOV_3",-0.0121352348578957
"HCSP_YN_2",0
"HDIS_YN_2",-0.0130660913126587
"HDIV_YN_2",-0.067181621822914
"HDST_YN_2",-0.0564509703421511
"HED_YN_2",0
"HFIN_YN_2",0.00116445143194511
"HFLUNCH_2",0.00236770878222972
"HHOTLUN_2",0
"HHSTATUS_2",-0.0701971862809594
"HHSTATUS_3",0
"HINC_FR_2",0
"HINC_SE_2",-0.0247646378917396
"HINC_UC_2",0
"HINC_WC_2",0
"HINC_WS_2",-0.258506530548832
"HINT_YN_2",-0.0721778917918823
"HLORENT_1",-0.00651444698544418
"HLORENT_2",0
"HMCAID_2",0
"HOI_YN_2",0
"HPAW_YN_2",0
"HPEN_YN_2",-0.115947171910568
"HPRES_MORT_1",0.0366972456334889
"HPRES_MORT_2",0
"HPRIV_3",-0.12362105190079
"HPUB_1",0
"HPUB_2",0
"HPUB_3",0
"HPUBLIC_1",-0.0369480139185401
"HRNT_YN_2",-0.0330944327599748
"HRWICYN_2",0
"HSSI_YN_2",-0.00255812702286305
"HSS_YN_2",-0.0438659053496988
"HSUR_YN_2",-0.0202280454107599
"HVET_YN_2",-0.0221692985645924
"NOW_HMCAID_1",-0.0592142946066482
"NOW_HMCAID_3",0.0317633583176451
"NOW_HPRIV_2",0
"GTMETSTA_2",0
"GTMETSTA_3",0
