"feature","coefficient"
"HCHCARE_VAL",0.0131511368982492
"HENGVAL",-0.0148175743102379
"HFDVAL",-0.0535442251631843
"HFRVAL",0.0279676205717442
"HHOTNO",0.00462803407035669
"HNUMFAM",0.0541655091830702
"HPROP_VAL",0.0616011761337117
"HRNUMWIC",-0.00370908661349446
"HSEVAL",0.0941387429368533
"HUNITS",-0.00183687370245163
"HWSVAL",0.334109791074176
"THCHCARE_VAL",-0.00280314714116345
"THPROP_VAL",-0.0193826618288223
"GEDIV_1",0.0105524592212449
"GEDIV_2",0.00854029907005076
"GEDIV_3",-0.00459895571873504
"GEDIV_4",-0.00806064951269512
"GEDIV_5",-0.00382893282907848
"GEDIV_6",-0.00698864854908158
"GEDIV_7",-0.00601825860315745
"GEDIV_8",-0.00273157105322815
"GEDIV_9",0.0132963529491204
"HRHTYPE_1",0.0775895054616581
"HRHTYPE_2",-0.00303041680959382
"HRHTYPE_3",0.00216561044737261
"HRHTYPE_4",-0.0360179956370716
"HRHTYPE_5",-0.00426429470970134
"HRHTYPE_6",-0.0151130112349748
"HRHTYPE_7",-0.0576517002722331
"HRHTYPE_8",-0.00906349237985079
"HRHTYPE_9",0.00198943852187738
"H_TENURE_3",-0.0169588320872222
"H_LIVQRT_2",-0.00227426687083775
"H_LIVQRT_3",0.000372102789694754
"H_LIVQRT_4",0.000514437510986174
"H_LIVQRT_5",-0.0206370781524291
"H_LIVQRT_6",-0.00249126672561018
"H_LIVQRT_7",-0.00076517751604018
"H_LIVQRT_8",-0.00756625202731344
"H_LIVQRT_10",-0.000549019975232414
"H_LIVQRT_11",-0.00351833824026919
"H_LIVQRT_12",-0.00379377153114607
"H_TELHHD_2",-0.0215154723262134
"HANN_YN_2",-0.0309321465507933
"HCHCARE_YN_1",0.00412333777125265
"HCHCARE_YN_2",-0.00856362447489595
"HCOV_2",-0.0219883969563639
"HCOV_3",-0.0457774907910185
"HCSP_YN_2",-0.00788459765166297
"HDIS_YN_2",-0.0253927219554194
"HDIV_YN_2",-0.0735751399376724
"HDST_YN_2",-0.0606847384739546
"HED_YN_2",-0.0170637618100556
"HFIN_YN_2",0.0242761344709811
"HFLUNCH_2",0.0236759168823473
"HHOTLUN_2",0.0187284916906679
"HHSTATUS_2",-0.0682739116620826
"HHSTATUS_3",0.0114860140503664
"HINC_FR_2",-0.00555861484735484
"HINC_SE_2",-0.0343669092530695
"HINC_UC_2",-0.00826141394473634
"HINC_WC_2",-0.0108166993402434
"HINC_WS_2",-0.221284482382801
"HINT_YN_2",-0.067780275209597
"HLORENT_1",-0.0266728903349527
"HLORENT_2",-0.00600277747894004
"HMCAID_2",0.00679739460822646
"HOI_YN_2",-0.0159049653104844
"HPAW_YN_2",-0.00195935704736029
"HPEN_YN_2",-0.101368387353045
"HPRES_MORT_1",0.0378566089956993
"HPRES_MORT_2",-0.00607766316865626
"HPRIV_3",-0.0938513874437432
"HPUB_1",-0.0357029467838775
"HPUB_2",-0.00833456762926357
"HPUB_3",0.0388874535588423
"HPUBLIC_1",-0.051577529156764
"HRNT_YN_2",-0.0449702313791777
"HRWICYN_2",0.0147243867733942
"HSSI_YN_2",-0.0269557295797648
"HSS_YN_2",-0.0585239375218021
"HSUR_YN_2",-0.0340455473162771
"HVET_YN_2",-0.0337430047314327
"NOW_HMCAID_1",-0.0575196226850489
"NOW_HMCAID_3",0.0392320464245623
"NOW_HPRIV_2",-0.00641735825725101
"GTMETSTA_2",-0.0165847026805043
"GTMETSTA_3",-0.0053994221090386
